read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
7e36c97f-4227-462a-82b0-947bc8f1e9b7	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3ef2000c-75fe-4a14-b7f0-a999e4cead7b	pUC57_50Q_CRE_PURO	+	1	2660	4810	7451	27	45	2614	2573	0.984315	0.95793	4626	0.888209
ada500d9-061c-40b5-935b-de6af847a84a	pUC57_50Q_CRE_PURO	+	2664	2944	24	295	5	14	266	261	0.981203	0.915789	416	0.0916293
07cb5f43-edd5-4429-b150-b60b04687345	pUC57_50Q_CRE_PURO	-	1	2670	4776	7401	43	87	2582	2529	0.979473	0.932522	4278	0.877336
1a463389-d90e-4f19-ba95-a3b9ad39ec3a	pUC57_50Q_CRE_PURO	+	1	2944	3114	6016	50	91	2852	2791	0.978612	0.932509	4700	0.969079
c384ddc5-2167-43e1-8cc2-032248918dfa	pUC57_50Q_CRE_PURO	+	1	2944	155	3065	41	74	2869	2804	0.977344	0.939678	4782	0.974856
1effc532-b062-40c0-bd18-192a78bafc73	pUC57_50Q_CRE_PURO	+	1	2670	4786	7396	32	91	2578	2531	0.981769	0.93706	4354	0.875977
c34905e5-3407-424f-a562-31315a8ea9cd	pUC57_50Q_CRE_PURO	+	4	609	3347	3950	9	11	594	580	0.976431	0.944625	1020	0.201835
2ffa3e9c-c172-43cb-97c1-f17c62fd4c1e	pUC57_50Q_CRE_PURO	-	5	2670	6102	8719	26	74	2591	2523	0.973755	0.93757	4286	0.880394
017bfb49-7d79-476b-a582-d938fcd65bfc	pUC57_50Q_CRE_PURO	+	2490	2944	28	473	4	13	441	434	0.984127	0.947598	766	0.149847
c96f97f4-7ccf-4299-908c-d8dd74438c4c	pUC57_50Q_CRE_PURO	+	1	2670	4770	7413	40	66	2603	2548	0.978871	0.940568	4400	0.884472
